epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,720.938,0.54724,0.37771,0.86291,0.99934,1,0.995,0.90805,0.46063,0.32766,0.8327,0.0017096,0.0017096,0.0017096
46,736.929,0.52596,0.3717,0.8526,0.99845,1,0.995,0.90089,0.47509,0.32947,0.83301,0.001703,0.001703,0.001703
47,752.803,0.53441,0.37638,0.86114,0.99943,1,0.995,0.90655,0.49331,0.33289,0.83303,0.0016964,0.0016964,0.0016964
48,768.839,0.54012,0.36268,0.85851,0.99945,1,0.995,0.88641,0.50568,0.32049,0.83601,0.0016898,0.0016898,0.0016898
49,784.768,0.55269,0.37452,0.86424,0.99941,1,0.995,0.91238,0.44901,0.30223,0.82775,0.0016832,0.0016832,0.0016832
50,800.737,0.53788,0.36044,0.86339,0.99943,1,0.995,0.91135,0.47118,0.31484,0.82886,0.0016766,0.0016766,0.0016766
51,816.663,0.57663,0.37901,0.89037,0.99936,1,0.995,0.90162,0.47914,0.32238,0.83728,0.00167,0.00167,0.00167
52,832.65,0.54189,0.3794,0.87012,0.99946,1,0.995,0.91198,0.47657,0.32441,0.83314,0.0016634,0.0016634,0.0016634
53,848.571,0.53762,0.36687,0.85961,0.99944,1,0.995,0.90478,0.454,0.31696,0.83061,0.0016568,0.0016568,0.0016568
54,864.522,0.54333,0.36617,0.8765,0.99939,1,0.995,0.8985,0.49478,0.3205,0.83399,0.0016502,0.0016502,0.0016502
55,880.494,0.52062,0.38246,0.8534,0.99759,1,0.995,0.88862,0.5182,0.3499,0.84282,0.0016436,0.0016436,0.0016436
56,896.489,0.52041,0.35368,0.8629,0.99775,1,0.995,0.89347,0.48765,0.33039,0.83977,0.001637,0.001637,0.001637
57,912.365,0.51096,0.34612,0.85598,0.99936,1,0.995,0.90205,0.46576,0.31552,0.833,0.0016304,0.0016304,0.0016304
58,928.27,0.49897,0.35597,0.84891,0.99939,1,0.995,0.90674,0.43886,0.31024,0.8254,0.0016238,0.0016238,0.0016238
59,944.225,0.51503,0.34803,0.8526,0.99944,1,0.995,0.91104,0.43791,0.30764,0.82616,0.0016172,0.0016172,0.0016172
60,960.242,0.53325,0.34838,0.87655,0.99936,1,0.995,0.90655,0.45759,0.31568,0.83221,0.0016106,0.0016106,0.0016106
61,976.042,0.54123,0.3512,0.86836,0.99941,1,0.995,0.90452,0.45029,0.29965,0.83184,0.001604,0.001604,0.001604
62,992.03,0.52528,0.3484,0.86931,0.99939,1,0.995,0.91402,0.44791,0.29058,0.833,0.0015974,0.0015974,0.0015974
63,1007.91,0.50344,0.34298,0.86254,0.99554,1,0.995,0.92299,0.44412,0.30188,0.82832,0.0015908,0.0015908,0.0015908
64,1023.8,0.50921,0.34413,0.84973,0.99155,1,0.995,0.91707,0.48295,0.33047,0.82784,0.0015842,0.0015842,0.0015842
65,1039.68,0.51712,0.34749,0.85369,0.99941,1,0.995,0.91608,0.46646,0.31062,0.82934,0.0015776,0.0015776,0.0015776
66,1055.49,0.51566,0.35023,0.86606,0.98974,1,0.995,0.90094,0.45753,0.31768,0.82613,0.001571,0.001571,0.001571
67,1071.43,0.50903,0.33538,0.84947,0.99933,1,0.995,0.89746,0.44403,0.28965,0.82375,0.0015644,0.0015644,0.0015644
68,1087.44,0.50671,0.3367,0.85224,0.99929,1,0.995,0.88638,0.45533,0.32975,0.82988,0.0015578,0.0015578,0.0015578
69,1103.29,0.49706,0.33394,0.85641,0.99942,1,0.995,0.89457,0.45703,0.30328,0.82806,0.0015512,0.0015512,0.0015512
70,1119.22,0.49268,0.32885,0.8651,0.99941,1,0.995,0.91061,0.43992,0.28576,0.82666,0.0015446,0.0015446,0.0015446
71,1135.22,0.49021,0.33175,0.8516,0.99943,1,0.995,0.91675,0.44671,0.30314,0.82787,0.001538,0.001538,0.001538
72,1151.12,0.50043,0.32819,0.85083,0.99941,1,0.995,0.91749,0.43085,0.30445,0.826,0.0015314,0.0015314,0.0015314
73,1167.02,0.46654,0.33392,0.83604,0.9967,1,0.995,0.91854,0.432,0.2856,0.82534,0.0015248,0.0015248,0.0015248
74,1182.94,0.49311,0.32792,0.85573,0.99941,1,0.995,0.91904,0.43888,0.29774,0.8291,0.0015182,0.0015182,0.0015182
75,1198.9,0.48248,0.3293,0.85695,0.99942,1,0.995,0.91067,0.45658,0.31345,0.83369,0.0015116,0.0015116,0.0015116
76,1214.77,0.49824,0.32842,0.86788,0.99942,1,0.995,0.9099,0.46506,0.31252,0.83872,0.001505,0.001505,0.001505
77,1230.68,0.52812,0.34477,0.87385,0.99933,1,0.995,0.90915,0.44977,0.30785,0.83882,0.0014984,0.0014984,0.0014984
78,1246.58,0.49033,0.32852,0.85566,0.99918,1,0.995,0.91703,0.41703,0.30651,0.83004,0.0014918,0.0014918,0.0014918
79,1262.54,0.51595,0.33667,0.86382,0.99939,1,0.995,0.92436,0.41198,0.31063,0.82932,0.0014852,0.0014852,0.0014852
80,1278.47,0.47784,0.32686,0.85543,0.99926,1,0.995,0.90836,0.44215,0.29664,0.83608,0.0014786,0.0014786,0.0014786
81,1294.31,0.47696,0.32623,0.85272,0.99941,1,0.995,0.90403,0.4481,0.28862,0.83652,0.001472,0.001472,0.001472
82,1310.2,0.48305,0.32432,0.86886,0.99944,1,0.995,0.91946,0.42896,0.28211,0.82593,0.0014654,0.0014654,0.0014654
83,1326.2,0.46972,0.31253,0.85332,0.9994,1,0.995,0.91211,0.46424,0.286,0.83029,0.0014588,0.0014588,0.0014588
84,1342.15,0.50753,0.3294,0.86661,0.99941,1,0.995,0.89935,0.46772,0.28505,0.82856,0.0014522,0.0014522,0.0014522
85,1357.97,0.52276,0.33744,0.85443,0.99921,1,0.995,0.90354,0.46989,0.30811,0.82887,0.0014456,0.0014456,0.0014456
86,1373.98,0.50275,0.33375,0.85645,0.99941,1,0.995,0.90096,0.46624,0.28852,0.82942,0.001439,0.001439,0.001439
87,1389.84,0.46902,0.31892,0.84888,0.99936,1,0.995,0.91917,0.43958,0.28528,0.82413,0.0014324,0.0014324,0.0014324
88,1405.8,0.46566,0.3158,0.84661,0.99939,1,0.995,0.91706,0.44298,0.28266,0.82466,0.0014258,0.0014258,0.0014258
89,1421.74,0.45437,0.30744,0.84846,0.99943,1,0.995,0.91211,0.43015,0.29186,0.82185,0.0014192,0.0014192,0.0014192
90,1437.73,0.48326,0.31701,0.86409,0.99945,1,0.995,0.92381,0.41844,0.27518,0.82217,0.0014126,0.0014126,0.0014126
91,1453.74,0.48848,0.32488,0.83645,0.9994,1,0.995,0.91216,0.41721,0.27761,0.82168,0.001406,0.001406,0.001406
92,1469.74,0.44614,0.2992,0.84825,0.99944,1,0.995,0.92347,0.41436,0.27897,0.81879,0.0013994,0.0013994,0.0013994
93,1485.68,0.48501,0.30889,0.85003,0.9994,1,0.995,0.91867,0.43994,0.28501,0.82251,0.0013928,0.0013928,0.0013928
94,1501.6,0.47701,0.31614,0.84208,0.99944,1,0.995,0.91854,0.42935,0.29299,0.82755,0.0013862,0.0013862,0.0013862
